Prompt,Name,Variations
"A colorful abstract background with flowing particles and mathematical symbols",abstract-math-01,3
"Animated Fibonacci spiral growing and rotating in 3D space",fibonacci-spiral,2
"Number line with integers appearing and glowing sequentially",number-line-glow,2
"Geometric shapes morphing: triangle to square to pentagon",shape-morph,3
"Mathematical formulas writing themselves on a chalkboard",formula-write,2
"3D graph of a sine wave oscillating smoothly",sine-wave-3d,2
"Pi digits scrolling in a circular spiral pattern",pi-spiral,2
"Golden ratio rectangle subdividing into smaller rectangles",golden-ratio,2
"Animated proof of Pythagorean theorem with squares",pythagoras-proof,3
"Fractal zoom into Mandelbrot set with vibrant colors",mandelbrot-zoom,2
